,,,,,
fruit type,age in days,Characteristic1,Characteristic2,Characteristic3,Characteristic4
apple,1,red,sweet,Sweet,Sweet
orange,2,round,sweet,bitter,bitter
pineapple,5,prickly,sweet,bitter,bitter
apple,4,yellow,sweet,bitter,bitter
grapefruit,2,yellow,bitter,bitter,bitter
watermelon,4,green,heavy,bitter,bitter
orange,2,round,sweet,bitter,bitter
orange,1,round,sweet,bitter,bitter
pineapple,6,prickly,sweet,bitter,bitter
apple,1,green,tart,bitter,bitter
grapefruit,1,bitter,yellow,bitter,bitter
watermelon,2,heavy,green,bitter,bitter
grapefruit,2,bitter,yellow,bitter,bitter
watermelon,3,heavy,green,bitter,bitter
orange,1,round,sweet,bitter,bitter
orange,5,sweet,round,bitter,bitter
pineapple,2,sweet,prickly,bitter,bitter
apple,2,red,sweet,bitter,bitter
orange,6,round,sweet,bitter,bitter
pineapple,2,sweet,prickly,bitter,bitter
apple,1,red,sweet,bitter,bitter
grapefruit,3,yellow,bitter,bitter,bitter
Bluebarry,1,Blue,Sweet,Round,Freezing
